gameId;tempoPartidaMin;gameMode;gameVersion;teamId;win;firstBlood;firstTower;firstInhibitor;firstBaron;firstDragon;firstRiftHerald;towerKills;inhibitorKillsTeam;baronKills;dragonKills;vilemawKills;riftHeraldKills
1115792172.0;35.0;CLASSIC;7.12.190.9002;100.0;Win;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;9.0;1.0;1.0;2.0;0.0;1.0
1115792172.0;35.0;CLASSIC;7.12.190.9002;200.0;Fail;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;4.0;0.0;0.0;2.0;0.0;0.0
1115738769.0;35.0;CLASSIC;7.12.190.9002;100.0;Fail;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;5.0;0.0;0.0;2.0;0.0;0.0
1115738769.0;35.0;CLASSIC;7.12.190.9002;200.0;Win;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;7.0;1.0;1.0;2.0;0.0;0.0
1115744447.0;21.0;CLASSIC;7.12.190.9002;100.0;Win;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;11.0;3.0;0.0;0.0;0.0;1.0
1115744447.0;21.0;CLASSIC;7.12.190.9002;200.0;Fail;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0.0;0.0;0.0;0.0;0.0;0.0
1115740051.0;28.0;CLASSIC;7.12.190.9002;100.0;Fail;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1.0;0.0;0.0;1.0;0.0;0.0
1115740051.0;28.0;CLASSIC;7.12.190.9002;200.0;Win;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;11.0;3.0;1.0;2.0;0.0;1.0
1115686540.0;24.0;CLASSIC;7.12.190.9002;100.0;Fail;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;0.0;0.0;0.0;1.0;0.0;0.0
1115686540.0;24.0;CLASSIC;7.12.190.9002;200.0;Win;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;10.0;2.0;1.0;2.0;0.0;1.0
1115691975.0;18.0;CLASSIC;7.12.190.9002;100.0;Win;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;4.0;0.0;0.0;2.0;0.0;1.0
1115691975.0;18.0;CLASSIC;7.12.190.9002;200.0;Fail;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;3.0;0.0;0.0;0.0;0.0;0.0
1115644662.0;28.0;CLASSIC;7.12.190.9002;100.0;Win;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;9.0;1.0;1.0;3.0;0.0;1.0
1115644662.0;28.0;CLASSIC;7.12.190.9002;200.0;Fail;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;3.0;0.0;0.0;0.0;0.0;0.0
1115597430.0;30.0;CLASSIC;7.12.190.9002;100.0;Fail;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;4.0;0.0;0.0;1.0;0.0;0.0
1115597430.0;30.0;CLASSIC;7.12.190.9002;200.0;Win;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;8.0;1.0;1.0;2.0;0.0;1.0
1115610206.0;21.0;CLASSIC;7.12.190.9002;100.0;Win;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;9.0;1.0;0.0;1.0;0.0;0.0
1115610206.0;21.0;CLASSIC;7.12.190.9002;200.0;Fail;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;0.0;0.0;0.0;1.0;0.0;1.0
1111651683.0;3.0;CLASSIC;7.12.190.9002;100.0;Fail;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0.0;0.0;0.0;0.0;0.0;0.0
1111651683.0;3.0;CLASSIC;7.12.190.9002;200.0;Win;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;0.0;0.0;0.0;0.0;0.0;0.0
1111506203.0;26.0;CLASSIC;7.12.190.9002;100.0;Win;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;9.0;2.0;0.0;0.0;0.0;0.0
1111506203.0;26.0;CLASSIC;7.12.190.9002;200.0;Fail;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;2.0;0.0;0.0;2.0;0.0;1.0
1111449609.0;22.0;CLASSIC;7.12.190.9002;100.0;Win;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;4.0;0.0;0.0;1.0;0.0;1.0
1111449609.0;22.0;CLASSIC;7.12.190.9002;200.0;Fail;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0.0;0.0;0.0;0.0;0.0;0.0
1111443424.0;36.0;CLASSIC;7.12.190.9002;100.0;Win;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;10.0;2.0;1.0;4.0;0.0;1.0
1111443424.0;36.0;CLASSIC;7.12.190.9002;200.0;Fail;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;7.0;2.0;0.0;0.0;0.0;0.0
1111377624.0;38.0;CLASSIC;7.12.190.9002;100.0;Win;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;10.0;2.0;1.0;3.0;0.0;0.0
1111377624.0;38.0;CLASSIC;7.12.190.9002;200.0;Fail;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;5.0;1.0;1.0;1.0;0.0;1.0
1110268811.0;23.0;CLASSIC;7.11.189.942;100.0;Win;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;11.0;3.0;1.0;3.0;0.0;1.0
